x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47
1.3853565,-0.90067613,1.0082396,1.1815984,0.6382907,0.14656015,-0.20305088,-1.042781,0.7829801,-0.17529547,-0.32357377,0.07619478,0.5612368,-2.0626981,-0.27859604,0.48117393,-0.6201689,0.59509,0.14599109,0.35334295,0.47450665,1.0968219,-0.66920227,-0.60252374,-0.33751786,-1.1096992,0.68839914,0.5877162,-0.94725555,0.17153287,0.43678984,-1.0568213,-0.1478213,0.45321858,-0.48483035,-0.44812542,-1.3837206,-0.6933706,-0.5581293,-0.30093378,-0.5409435,-0.74165505,-0.45899945,1.7558379,0.10915221,-0.36699122,-0.7273613,-1.1274968
-0.000714683,-0.96729684,-0.038596574,0.39767745,-0.27085894,-0.17932817,-0.9446756,-1.9283192,0.33159572,-0.6137201,-0.94271386,-0.2775995,0.09379339,-0.2597619,0.29302317,0.6734261,-0.90974224,-0.32429412,-0.38560143,-0.08658724,0.23246704,0.7844831,-0.13094985,-0.2835299,-0.8979961,-0.4330369,-0.36207005,-0.51355964,-0.52499753,-0.6548833,0.037708625,-0.946172,0.01477871,-0.655765,0.14164203,-0.21484104,-0.989145,-0.033395424,-0.300651,-0.3658347,-0.60842806,-1.1274519,-0.8386913,0.09419396,-0.12337098,-0.6792007,-0.90310293,-0.8297806
-0.0992657,-0.5506278,0.41331562,0.304952,0.36667973,0.33171234,-0.48307115,-1.1275245,-1.213045,-0.57124156,0.3917982,0.23545106,0.70932186,-0.059161577,2.1300905,0.22239922,-0.5591486,0.4256262,0.23801671,0.54671127,0.016097732,0.97747296,0.77252775,0.055283986,-0.64105177,-1.221875,-1.1427073,-0.2844857,-0.7849452,0.2215104,0.36145446,-0.1105429,-1.5030838,-1.3183209,1.7387655,0.43635377,1.1863159,-0.93606913,0.5675183,0.53952163,-1.5130801,-0.6370008,-0.49128118,-0.9997593,0.14015917,-0.2029942,-0.41721156,-0.10780527
-0.33093584,0.4847523,-0.46843076,0.2049175,0.055687666,0.4130564,-0.24001738,-0.6028003,-0.26560557,-0.5069905,0.49315023,-0.56898993,0.5418761,0.43384492,0.117298886,0.6134083,-0.14382648,0.9146636,0.9015699,0.6997904,0.70188266,0.95862985,0.8558644,0.35334924,0.13598968,-0.75890285,1.8935786,-0.54646873,-0.68645304,0.028865488,0.38224226,0.3483104,-0.47781074,1.3204894,-0.5613861,0.34949356,1.1743226,0.555933,0.5198151,0.9360345,0.005334301,-0.054151524,-0.1164561,-0.8115377,-0.2308038,0.29634756,-0.11544232,0.28593153
-0.31694308,-0.5300676,-1.0785314,-0.489824,-0.47241506,-0.24044824,-0.8237843,-0.30043435,-0.43016168,-1.140524,0.58627504,-0.87460226,-0.66235083,-0.6626733,-1.5433092,-0.5247545,-0.95099634,-0.36824664,-0.16339627,-0.2750959,-0.523983,-0.09081028,0.39102247,-0.20577875,-1.2261475,-1.0622824,-0.7911645,-0.5276127,-0.2794484,-0.04329823,-0.79450005,-0.1275618,-0.50079983,-0.2133129,0.15092362,-0.22744668,0.59451926,0.12571482,0.3361773,0.19398308,-0.44631073,-0.62856185,0.08204338,-1.209493,-0.743143,-1.0239465,-0.49198413,-0.13012983
-0.40097475,-0.28621498,-1.1130064,-0.3448741,-0.8073722,-0.3958404,-1.1853992,0.10169218,-0.5361136,-1.1912355,-0.1890504,-1.0672728,-0.23667596,0.879367,-0.23735774,-0.7944751,-0.85199976,-0.5909989,0.038216416,-0.15738061,-0.41327074,-0.3336347,0.1974883,-0.54632235,-0.2755694,-1.6628497,1.5821123,-1.1252017,-1.148327,-0.37611067,-0.3736284,-0.82705754,-0.7539537,1.0409989,-0.44021887,-0.78235114,0.78141737,0.58396566,0.06648106,-0.35019875,-0.5079389,-1.1973213,0.040229768,-0.37424892,-0.5288183,-0.83605987,-0.97680867,-0.25433964
-1.227863,-0.88177174,-1.5037327,-0.78208774,-0.5699971,0.34496033,-0.8148516,-0.88497746,0.5283728,-0.80572927,-0.29928604,-0.7097147,-0.73986787,-0.8785116,-0.63217735,0.006320568,-0.5379918,0.13107084,-0.5413732,-0.6462357,-0.55151767,-0.1508022,0.23888394,-0.3426938,1.2750044,-0.810952,1.3379954,-1.7525423,-0.8743014,-0.47743282,-0.33923438,-0.14395955,-0.54219395,0.21502489,0.047766764,-0.7466993,-1.4796,0.55661994,-0.0455302,-0.22960933,-0.8439545,-0.693117,-0.9781564,-0.5925608,-0.96790004,-0.4615439,-0.4452809,-0.32824773
-0.56392246,-0.24672279,-0.47156194,-0.27284542,0.4368929,-1.2246733,-0.46555886,-0.15384682,-0.8405844,-1.0260079,0.12607737,-0.18718287,-0.05778476,1.0246849,-0.0011470021,0.17485675,-0.39757562,0.17738359,0.48893887,-0.05605022,-0.18808174,0.15311068,0.62597954,0.075639196,0.10940178,-0.25752228,0.3913077,-0.71506107,-0.87013406,0.1564361,-0.06862438,-0.16534407,0.3600258,0.25784343,-1.1590234,-0.16730529,-0.94820416,0.7279848,0.21883605,0.123846166,0.33077204,-0.27485546,-1.0823736,-1.5263877,-0.56587213,0.2606195,0.44051576,0.13326505
-0.46710172,-0.45621637,-0.33372617,-0.14207935,-0.20622642,-0.040736042,-0.1901638,0.47013938,0.31198576,-0.45198902,0.02494415,-0.57203543,0.35971475,0.35276136,0.60697913,0.15591347,-0.042611577,0.16820496,0.21373694,0.13429724,0.45636535,0.5131488,0.73372275,0.16282256,-0.22139487,-0.16115221,0.14948058,-0.2641399,-0.05470895,0.39763284,-0.013319758,0.033363406,0.29095587,-0.5576875,0.745659,-0.06971589,-1.457384,0.8734222,0.6914399,0.6409125,0.45364258,-0.29742172,0.22001103,0.66251636,-0.35618395,-0.29706326,0.49928597,0.38439572
-0.8590865,-1.452463,-1.407433,-1.181695,-0.36717448,-1.3649933,-1.8095573,-1.0568945,-1.6988435,-2.277279,-0.7269688,-1.0722145,-0.78743345,0.70084786,-0.16299975,-1.6407125,-1.9679463,-2.0067108,-1.157773,-1.2222363,-0.9269999,-1.5244988,-1.1771033,-1.4874785,-1.3893459,-1.8095464,-0.54439217,-1.1620687,-1.1621377,-0.84690326,-1.5220126,-1.3823276,-1.2021728,0.35799438,0.035468087,-1.7732725,0.7152706,-1.471792,-0.8897762,-1.9272177,-1.100228,-1.7361046,-1.5993708,-2.2851262,-1.6569499,-2.1786962,-1.4379853,-0.9985473
